date,aircraft_registration_or_model,aircraft_type,type_of_occurance,place_of_occurance,status,report
24-Jan-10,RP-C1939,Cessna 172M,Collision with Perimeter Fence,Subic Bay International Airport,Completed,Final Report
24-Jan-10,RP-C1086,Eurocopter GMBH (EC145),Detachment of Unsecured Detachable Step,"Gen. Aviation Area, Domestic Airport",Completed,Final Report
30-Jan-10,RP-C8840,Cessna 152 II,Aborted Take Off,Subic Bay International Airport,Completed,Final Report
5-Feb-10,RP-C4427,Cessna 152,Uncontrolled Landing,Ormoc Airport Leyte,Completed,Final Report
20-Feb-10,RP-C5522 / RP-C666,AS350 / Cessna 180,Near Miss,"Vicinity of Covelandia Bacoor, Cavite",Completed,Final Report
8-Mar-10,RP-R2374,S2R-G10),Runway Excursion,"Magcum Aerodrome, New Corella Davao del Norte",Completed,Final Report
12-Mar-10,RP-C1322,Cessna 172,Jet Blast,Runway 13 Extension,Completed,Final Report
15-Mar-10,RP-C2928,LET 410,Busted Left Main Tire,Caticlan Airport,Completed,Final Report
2-Apr-10,RP-C1743,Cessna 150 II,Uncontrolled Landing,"Iba, Zambales",Completed,Final Report
26-Apr-10,RP-C989,PA-18-150,Propeller Ground Strike,"OMNI Airfield, Clark Pampanga",Completed,Final Report
15-May-10,RP-R3618,Agtruck-188B,Runway Excursion,"New Corella Airstrip, Davao Del Norte",Completed,Final Report
25-May-10,RP-C9328,Dornier Do-328,Tail Strike,Caticlan Airport,Completed,Final Report
15-Jul-10,RP-C2252,YS-11A-500,Tire Burst,Manila Domestic Airport Runway 31,Completed,Final Report
5-Aug-10,RP-C8864,Cessna 152,Runway Excursion,Baguio Airport,Completed,Final Report
14-Aug-10,RP-R1777,S2RG10,Loss of engine power,"Lunga-og Airstrip Brgy. Kimano, Sto Tomas, Davao Del Norte",Completed,Final Report
2-Sep-10,RP-R3024,Grumman Agcat 164A,Loss of control (Aircraft Stall),Sittio Kapatagan Laac Compostella Valley,Completed,Final Report
3-Oct-10,PH-JDK,M212-200,Emergency Landing,San Jose Mindoro,Completed,Final Report
5-Oct-10,RP-C4421,Cessna 152 II,Emergency Landing,"Camotes Island, Brgy. Canoche",Completed,Final Report
