TYPE OF FINANCIAL INSTITUTIONS_a,TYPE OF FINANCIAL INSTITUTIONS_a,TYPE OF FINANCIAL INSTITUTIONS_a,End-March 2011_TOTAL,End-March 2011_ON-SITE,End-March 2011_OFF-SITE,End-June 2011_TOTAL,End-June 2011_ON-SITE,End-June 2011_OFF-SITE,End-September 2011_TOTAL,End-September 2011_ON-SITE,End-September 2011_OFF-SITE,End-December 2011_TOTAL,End-December 2011_ON-SITE,End-December 2011_OFF-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Banks,Total Banks,Total Banks,"10,997 ","6,724 ","4,273 ","11,328 ","6,842 ","4,486 ","11,752 ","7,043 ","4,709 ","12,225 ","7,282 ","4,943 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Universal and Commercial Banks,Universal and Commercial Banks Total,"9,478 ","5,684 ","3,794 ","9,760 ","5,780 ","3,980 ","10,081 ","5,929 ","4,152 ","10,510 ","6,130 ","4,380 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Expanded Commercial Banks and Universal Banks Total," 8,507 "," 5,116 "," 3,391 "," 8,781 "," 5,231 "," 3,550 "," 9,201 "," 5,496 "," 3,705 "," 9,607 "," 5,691 "," 3,916 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Private Domestic Banks," 7,269 "," 4,367 "," 2,902 "," 7,519 "," 4,465 "," 3,054 "," 7,912 "," 4,718 "," 3,194 "," 8,283 "," 4,909 "," 3,374 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Government Banks," 1,210 ", 721 , 489 ," 1,234 ", 738 , 496 ," 1,261 ", 750 , 511 ," 1,296 ", 754 , 542 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Branches of Foreign Banks, 28 , 28 , - , 28 , 28 , - , 28 , 28 , - , 28 , 28 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Non-Expanded Commercial Banks,Commercial Banks, 971 , 568 , 403 , 979 , 549 , 430 , 880 , 433 , 447 , 903 , 439 , 464 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Non-Expanded Commercial Banks,Private Domestic Banks, 864 , 477 , 387 , 869 , 458 , 411 , 761 , 339 , 422 , 784 , 345 , 439 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Non-Expanded Commercial Banks,Subsidiaries of Foreign Banks, 87 , 71 , 16 , 90 , 71 , 19 , 99 , 74 , 25 , 99 , 74 , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Non-Expanded Commercial Banks,Branches of Foreign Banks, 20 , 20 , - , 20 , 20 , - , 20 , 20 , - , 20 , 20 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrift Banks ,Thrift Banks ,Thrift Banks ,"1,301 ",856 ,445 ,"1,344 ",872 ,472 ,"1,417 ",896 ,521 ,"1,471 ",944 ,527 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,Rural and Cooperative Banks ,Rural and Cooperative Banks ,218 ,184 ,34 ,224 ,190 ,34 ,254 ,218 ,36 ,244 ,208 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,Rural and Cooperative Banks ,Rural Banks 1/,218 ,184 ,34 ,224 ,190 ,34 ,252 ,216 ,36 ,242 ,206 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,Rural and Cooperative Banks ,Cooperative Banks, - , - , - , - , - , - ,2 ,2 , - ,2 ,2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYSICAL NETWORK: NUMBER OF AUTOMATED TELLER MACHINES (ATMs) as of end of periods indicated: 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated as of 15 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
