region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total,
CAR,Baguio,WCC,-,-,-,-,-,-,-,-,-,-,-,-,0,
CAR,Baguio,G. Aviation,-,-,-,-,-,-,-,1,-,-,-,-,1,
CAR,Baguio,A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,9100,-,-,-,-,-,-,9100,
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (International),China Eastern ,-,-,-,-,-,-,10569,16963,14536,8664,10364,-,61096,
I (Ilocos Norte),Laoag (International),Hongkong Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Philippine Airlines,229898,214901,276139,278746,244686,209213,188932,137251,132708,141816,178602,249463,2482355,
I (Ilocos Norte),Laoag (Domestic),Air Philippine,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,22236,23412,30536,27138,26628,22121,18983,14062,103127,29396,16349,28546,362534,
I (Ilocos Norte),Laoag (Domestic),Aeroflite Av. Corp,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Far East Avia.,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),WCC,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Paco,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Lingayen,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Lingayen,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Vigan,North South Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
