Location,Amount,Type
Manila,723,universal
Manila,114,thrift
Manila,0,rural
Mandaluyong,223,universal
Mandaluyong,32,thrift
Mandaluyong,1,rural
Marikina,87,universal
Marikina,19,thrift
Marikina,1,rural
Pasig,258,universal
Pasig,43,thrift
Pasig,1,rural
Quezon City,1036,universal
Quezon City,144,thrift
Quezon City,1,rural
San Juan City,106,universal
San Juan City,18,thrift
San Juan City,0,rural
Caloocan City,109,universal
Caloocan City,37,thrift
Caloocan City,0,rural
Malabon City,44,universal
Malabon City,8,thrift
Malabon City,0,rural
Navotas City,21,universal
Navotas City,3,thrift
Navotas City,0,rural
Valenzuela City,77,universal
Valenzuela City,17,thrift
Valenzuela City,0,rural
Las Pinas City,94,universal
Las Pinas City,20,thrift
Las Pinas City,0,rural
Makati City,653,universal
Makati City,71,thrift
Makati City,1,rural
Muntinlupa City,180,universal
Muntinlupa City,30,thrift
Muntinlupa City,0,rural
Paranaque City,219,universal
Paranaque City,29,thrift
Paranaque City,0,rural
Pasay City,221,universal
Pasay City,30,thrift
Pasay City,0,rural
Pateros,10,universal
Pateros,2,thrift
Pateros,0,rural
Taguig City,157,universal
Taguig City,21,thrift
Taguig City,0,rural
Adams,0,universal
Adams,0,thrift
Adams,0,rural
Baccara,0,universal
Baccara,0,thrift
Baccara,0,rural
Badoc,0,universal
Badoc,0,thrift
Badoc,0,rural
Bangui,0,universal
Bangui,0,thrift
Bangui,0,rural
Batac City,10,universal
Batac City,0,thrift
Batac City,0,rural
Burgos,0,universal
Burgos,0,thrift
Burgos,0,rural
Carasi,0,universal
Carasi,0,thrift
Carasi,0,rural
Currimao,0,universal
Currimao,0,thrift
Currimao,0,rural
Dingras,1,universal
Dingras,0,thrift
Dingras,0,rural
Dumalneg,0,universal
Dumalneg,0,thrift
Dumalneg,0,rural
Espiritu (Banna),0,universal
Espiritu (Banna),0,thrift
Espiritu (Banna),0,rural
Laoag (City/Capital),31,universal
Laoag (City/Capital),2,thrift
Laoag (City/Capital),0,rural
Marcos,0,universal
Marcos,0,thrift
Marcos,0,rural
Nueva Era,0,universal
Nueva Era,0,thrift
Nueva Era,0,rural
Pagudpud,0,universal
Pagudpud,0,thrift
Pagudpud,0,rural
Paoay,0,universal
Paoay,0,thrift
Paoay,0,rural
Pasuquin,1,universal
Pasuquin,0,thrift
Pasuquin,0,rural
Piddig,0,universal
Piddig,0,thrift
Piddig,0,rural
Pinili,0,universal
Pinili,0,thrift
Pinili,0,rural
San Nicolas,6,universal
San Nicolas,0,thrift
San Nicolas,0,rural
Sarrat,0,universal
Sarrat,0,thrift
Sarrat,0,rural
Solsona,0,universal
Solsona,0,thrift
Solsona,0,rural
Vintar,0,universal
Vintar,0,thrift
Vintar,0,rural
Alilem,0,universal
Alilem,0,thrift
Alilem,0,rural
