region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,Military,-,-,-,-,-,-,-,-,-,-,-,1000,1000
I (Ilocos Norte),Laoag (International),Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),China S. Air,-,-,-,-,-,-,-,-,-,-,13301,-,13301
I (Ilocos Norte),Laoag (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (International),China Eastern ,-,14640,14640,14640,16481,14397,16930,-,-,-,-,16395,108123
I (Ilocos Norte),Laoag (International),Hongkong Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Jet Asia,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,28275,24968,24968,27419,24968,20298,18266,16685,128395,15618,24968,28189,383017
I (Ilocos Norte),Laoag (Domestic),PhilippineAirlines,280182,238571,268487,279234,250879,240122,213729,168717,141845,176010,213262,289725,2760763
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Lingayen,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Lingayen,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,North South Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,G. Aviation,1070,1575,1850,-,680,1100,-,1870,700,2150,1950,1700,14645
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Bagabag,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Bagabag,G. Aviation,-,-,-,-,-,16,-,-,-,-,-,-,16
II (Cagayan Valley),Basco,Philippine Airlines,35551,34202,43333,38607,37705,31825,21836,17595,18777,23708,26535,31123,360797
II (Cagayan Valley),Basco,North Sky Air,-,5129,6329,5572,5263,6832,3637,3267,3780,1890,-,6761,48460
II (Cagayan Valley),Basco,WCC,11404,14675,6913,20784,24734,16904,9359,12800,10713,15545,12489,21099,177419
II (Cagayan Valley),Basco,Sky Jet,29426,28616,36740,41611,42742,37418,28276,23817,25638,24156,32198,39953,390591
II (Cagayan Valley),Basco,Military,-,610,-,1160,1260,-,-,1900,36747,27460,500,1731,71368
II (Cagayan Valley),Basco,G. Aviation,-,-,1649,9521,15603,412,1085,-,1133,548,3153,1058,34162
II (Cagayan Valley),Basco,Air Swift,-,-,-,-,-,6490,5254,5760,5494,4733,3263,8248,39242
II (Cagayan Valley),Cauayan,Cebu Pacific,21518,34728,45369,53452,45253,47157,15869,45944,50956,51313,50110,67511,529180
II (Cagayan Valley),Cauayan,North Sky Air,-,30000,-,-,-,-,-,10625,-,-,-,-,40625
II (Cagayan Valley),Cauayan,Cyclone Airways,-,8534,11555,-,15443,12939,50665,17187,16349,15248,17752,15404,181076
II (Cagayan Valley),Cauayan,G. Aviation,-,-,-,9177,-,-,-,-,1875,-,-,-,11052
II (Cagayan Valley),Itbayat,Sky pasada,-,-,-,-,-,-,-,-,-,650,-,-,650
II (Cagayan Valley),Itbayat,North Sky Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Air Republic ,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,786,1910,401,3097
II (Cagayan Valley),Itbayat,Military,-,-,-,-,-,-,-,-,-,1250,-,409,1659
II (Cagayan Valley),Palanan,North Sky Air,15,-,1777,129,-,-,289,412,-,-,-,-,2622
II (Cagayan Valley),Palanan,WCC/Sky Pasada,15161,11935,9867,19393,18420,47157,6968,8152,9213,9582,12183,9536,177567
II (Cagayan Valley),Palanan,Cyclone Airways,8598,-,12153,7236,11140,12939,10554,9184,9827,8825,8313,12919,111688
II (Cagayan Valley),Palanan,G. Aviation,-,5922,20,-,391,-,-,-,-,-,-,-,6333
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (Domestic),Philippines Airlines,33173,38904,47602,42599,33320,13139,44430,38943,17066,14526,18038,18443,360183
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,110774,84217,107300,140931,143031,9333,102105,101786,110465,88967,89726,130735,1219370
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,17239,18368,31348,23194,18292,15,11810,5337,11155,8886,1970,15376,162990
II (Cagayan Valley),Tuguegarao (Domestic),WCC Sky Pasada,22497,27153,14136,32676,36342,-,15533,20946,17398,22100,19260,30382,258423
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,1600,3200,9645,4750,5600,-,50,750,750,4000,3200,240,33785
II (Cagayan Valley),Tuguegarao (Domestic),Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Iba,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic,International,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,International,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Plaridel,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
NCR,NAIA,International,23526630,24143780,28401310,25869730,26293280,27046840,26987690,27223270,28379950,30905010,30794900,31910500,331482890
NCR,NAIA,Domestic,22879190,21225050,23101430,23557110,22003680,25016100,27259260,30914000,33386120,33451430,17794210,18095240,298682820
NCR,NAIA,G. Aviation,27610,21400,25260,11390,21830,10030,-,-,-,-,-,-,117520
IV-A (CALABARZON)),Alabat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Baler,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Busuanga,Philippine Airline Express,72000,71447,63041,61101,30128,48073,47218,42124,39695,50048,65388,63959,654222
IV-B (MIMAROPA),Busuanga,Cebgo,103164,111704,106403,94782,91001,77804,80603,68937,67206,81513,116216,170948,1170281
IV-B (MIMAROPA),Busuanga,Air Juan,2150,2038,1726,1669,1978,1282,1180,1881,1316,1682,2769,2779,22450
IV-B (MIMAROPA),Busuanga,Skyjet,36459,33029,34833,44543,48042,41095,33240,33538,32114,37329,54259,104421,532902
IV-B (MIMAROPA),Busuanga,G. Aviation,79146,76045,43434,2567,8983,26564,-,3402,72486,44992,-,29034,386653
IV-B (MIMAROPA),Busuanga,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Calapan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,G. Aviation,8336,-,5633,4192,9259,-,3861,-,-,10837,1568,9007,52693
IV-A (CALABARZON)),Jomalig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Lubang,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Mamburao,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Marinduque,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Marinduque,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa (International),Philippine Airlines,10253,4404,10564,26318,24223,15526,2358,84,9646,884,-,12610,116870
IV-B (MIMAROPA),Puerto Princesa (International),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Philippine Airlines Express,421379,367859,500537,622651,604260,618325,585617,445659,201674,397542,373889,416590,5555982
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Cebu Pacific,284549,262339,374665,548685,732733,599594,522717,381630,347626,363816,372682,488094,5279130
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Air Asia/Zest Air,441128,408797,522929,597203,546577,503185,535321,369485,425196,598685,651130,702109,6301745
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Air Juan,-,-,-,-,-,-,-,-,-,-,-,-,0
